259284.000,2268,G07,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
260034.000,2268,G07,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
260784.000,2268,G07,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
261534.000,2268,G16,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
262284.000,2268,G16,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
263034.000,2268,G16,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
263784.000,2268,G18,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
264534.000,2268,G18,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
265284.000,2268,G18,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
266034.000,2268,G18,0.000000000000000000,0.0000000000000000,507904,220,18,218,2,18
